456.90,37.14,235.75,180.27
152.80,87.19,175.33,471.80
8.72,174.51,116.59,282.11
309.01,55.06,281.98,377.63
166.43,389.28,436.38,51.84
319.64,161.67,10.01,332.72
435.60,237.64,231.97,460.34
263.36,340.19,94.18,67.86
212.75,435.45,405.21,483.76
112.31,266.26,193.26,107.33
385.39,499.69,125.24,34.30
201.13,368.58,396.46,339.90
365.89,121.31,463.96,258.69
184.25,159.62,279.76,336.38
160.62,166.01,3.41,267.05
246.19,465.20,200.37,321.04
100.31,149.64,25.17,216.42
474.04,243.18,317.61,252.11
317.68,455.55,235.87,11.11
464.91,384.98,437.45,485.40
177.51,398.90,476.51,445.34
151.06,29.04,445.82,414.43
38.74,381.07,226.15,375.97
253.77,380.55,343.76,378.33
157.85,255.00,181.82,114.00
374.99,184.67,447.56,267.45
12.62,354.09,239.62,370.47
82.73,163.85,352.95,29.17
291.56,10.63,192.55,296.74
45.24,354.57,379.87,388.75
341.74,111.42,235.97,197.39
238.44,345.54,232.36,353.75
107.89,127.43,16.22,394.58
102.35,158.77,197.29,157.53
414.11,228.33,56.30,47.24
249.35,146.23,292.00,18.53
394.86,365.70,337.42,120.54
334.73,434.67,353.39,359.18
493.05,488.86,442.73,176.19
231.54,104.78,258.98,294.00
246.99,419.69,31.01,134.75
352.97,385.66,60.10,240.63
204.44,250.81,160.44,304.89
204.12,445.81,387.23,177.06
497.61,182.63,286.12,491.49
29.55,116.80,255.71,105.58
346.43,54.92,221.50,444.05
156.17,350.60,8.31,188.96
342.96,331.65,389.22,32.23
361.98,156.42,477.32,433.64
441.47,448.43,99.79,251.66
263.40,293.40,453.27,388.78
335.81,32.39,251.38,37.90
275.11,266.29,128.89,53.08
386.16,212.00,405.68,474.03
64.64,30.34,189.05,228.34
432.71,351.02,283.46,61.29
137.54,378.20,93.92,116.99
156.85,488.84,359.92,474.67
352.72,407.93,201.34,182.87
102.62,250.49,457.85,106.12
88.68,10.86,211.33,313.58
477.38,42.81,287.19,311.38
66.12,299.51,92.79,417.59
126.33,160.79,124.85,187.05
397.68,351.44,262.32,391.41
38.22,296.59,78.11,292.93
477.08,322.86,423.27,429.55
284.32,303.44,229.85,314.16
357.50,124.42,337.35,223.65
35.83,355.41,50.91,123.11
227.16,119.94,81.17,262.60
3.18,363.75,406.69,148.87
212.67,306.40,294.39,164.05
428.96,388.86,458.95,227.29
467.06,302.43,209.71,479.60
171.06,433.46,54.98,2.93
293.77,184.59,257.53,384.18
145.12,485.83,218.90,326.44
442.24,128.67,417.15,469.01
428.60,121.02,60.98,64.20
214.36,188.48,33.14,90.68
402.16,41.75,458.52,232.41
48.47,356.13,445.38,251.97
401.69,129.65,174.93,139.27
365.94,309.60,429.58,499.00
195.01,134.31,165.25,165.34
302.35,92.69,89.62,274.34
249.77,89.04,344.19,300.75
349.72,204.85,397.09,370.15
351.12,38.11,184.17,222.66
344.62,6.31,316.48,170.61
186.68,396.21,136.88,491.00
73.89,372.83,333.17,326.46
204.32,138.64,444.14,50.98
341.15,42.07,398.91,375.52
96.51,10.60,6.18,111.42
457.95,330.44,357.44,341.82
262.61,306.77,167.56,256.59
43.21,6.01,260.41,402.67
315.33,57.20,196.89,151.05
387.85,483.62,69.24,135.43
460.86,389.40,340.19,465.83
119.90,384.54,100.45,22.45
243.81,170.38,205.13,158.49
382.58,182.32,226.42,472.37
